Date,Open,High,Low,Close*,Adj Close**
1985-10-29,1347.8,1364.4,1345.9,1364.4,1364.4
1985-10-28,1347.6,1351.3,1347,1347.8,1347.8
1985-10-25,1349.6,1349.7,1344.5,1347.6,1347.6
1985-10-24,1347,1350.3,1347,1349.6,1349.6
1985-10-23,1336.3,1346.4,1336.3,1346.4,1346.4
1985-10-22,1338.8,1338.8,1328.7,1331.5,1331.5
1985-10-21,1341.2,1341.4,1339,1340.3,1340.3
1985-10-18,1335.7,1341.4,1328.6,1341.2,1341.2
1985-10-17,1330.9,1335.9,1330.9,1335.7,1335.7
1985-10-16,1320.9,1326.2,1317.2,1326.2,1326.2
1985-10-15,1321.1,1323.1,1318.8,1320.9,1320.9
1985-10-14,1322.3,1328.5,1320.6,1321.1,1321.1
1985-10-11,1316.6,1322.3,1316.6,1322.3,1322.3
1985-10-10,1311.8,1314.1,1311.8,1314.1,1314.1
1985-10-09,1303.3,1308.7,1301.7,1308.1,1308.1
1985-10-08,1306.9,1307.5,1302.3,1303.3,1303.3
1985-10-07,1313,1315,1306.9,1306.9,1306.9
1985-10-04,1306.6,1313.9,1306.6,1313,1313
1985-10-03,1305.4,1305.6,1302.1,1305.3,1305.3
1985-10-02,1297.5,1306.5,1297.5,1305.4,1305.4
1985-10-01,1292.8,1296,1292.8,1296,1296
1985-09-30,1283,1290.4,1283,1290,1290
1985-09-27,1276.6,1281.1,1276.6,1280.7,1280.7
1985-09-26,1272.5,1272.5,1269.5,1270.8,1270.8
1985-09-25,1279.4,1279.4,1271,1275.2,1275.2
1985-09-24,1292.1,1292.9,1279.2,1280.1,1280.1
1985-09-23,1292.5,1292.5,1286.1,1292.1,1292.1
1985-09-20,1305.3,1305.3,1297.9,1298.7,1298.7
1985-09-19,1299.1,1306.9,1299.1,1306.8,1306.8
1985-09-18,1295.6,1295.6,1289,1294.8,1294.8
1985-09-17,1300.2,1301.1,1294.5,1296,1296
1985-09-16,1300.2,1300.2,1295.7,1300.2,1300.2
1985-09-13,1313.3,1313.6,1305.4,1308.8,1308.8
1985-09-12,1302.8,1313.5,1302.8,1313.3,1313.3
1985-09-11,1306.9,1306.9,1295.3,1302.2,1302.2
1985-09-10,1317,1317,1311.4,1311.4,1311.4
1985-09-09,1332.2,1333.2,1329.2,1329.3,1329.3
1985-09-06,1322.2,1333.5,1322.2,1332.2,1332.2
1985-09-05,1324.1,1324.1,1318.4,1322,1322
1985-09-04,1335.5,1336.7,1326,1326.7,1326.7
1985-09-03,1340.3,1344.7,1335.2,1335.5,1335.5
1985-09-02,1340.3,1340.3,1335.1,1340.3,1340.3
1985-08-30,1330.1,1341.1,1330.1,1340.8,1340.8
1985-08-29,1311.2,1323.9,1311.2,1323.9,1323.9
1985-08-28,1308.2,1308.2,1302.5,1308.2,1308.2
1985-08-27,1311.1,1311.1,1309.6,1310.8,1310.8
1985-08-26,1313.5,1313.5,1313.5,1313.5,1313.5
1985-08-23,1309.7,1313.8,1307.7,1313.5,1313.5
1985-08-22,1312.9,1312.9,1309.7,1309.7,1309.7
1985-08-21,1307.7,1314.2,1307.7,1313.9,1313.9
1985-08-20,1299.5,1307.9,1299.5,1307.1,1307.1
1985-08-19,1298.9,1298.9,1294.4,1294.9,1294.9
1985-08-16,1301.8,1301.8,1298.2,1299.1,1299.1
1985-08-15,1293.2,1302.2,1293.2,1302.2,1302.2
1985-08-14,1285.1,1293.1,1285.1,1293.1,1293.1
1985-08-13,1288.1,1290.8,1284.5,1285.1,1285.1
1985-08-12,1286.3,1288.1,1281,1288.1,1288.1
1985-08-09,1286,1286.3,1281.1,1286.3,1286.3
1985-08-08,1286.6,1291,1286,1286,1286
1985-08-07,1286.6,1286.6,1278.7,1286.6,1286.6
1985-08-06,1271.8,1287.5,1271,1287.5,1287.5
1985-08-05,1278.5,1278.5,1271.3,1271.8,1271.8
